ID,Type,Lat,Lng,Time,Place
ID_1,Trash,41.1239974,24.8923953,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_2,Trash,41.1410657,24.8946058,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_3,Trash,41.1330598,24.8789397,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_4,Trash,41.1314681,24.8954815,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_5,Trash,41.1404505,24.8819469,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_6,Trash,41.1268774,24.8778964,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_7,Trash,41.134422,24.8867207,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_8,Trash,41.1279149,24.8868664,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_9,Trash,41.1360298,24.8963377,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_10,Trash,41.1401901,24.8861604,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_11,Trash,41.1287665,24.8928836,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_12,Trash,41.1301376,24.8828493,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_13,Trash,41.1382275,24.8915658,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_14,Trash,41.135956,24.8789046,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_15,Trash,41.1420754,24.8892473,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_16,Trash,41.1328113,24.8927516,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_17,Trash,41.1306603,24.8894,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_18,Trash,41.132966,24.8955446,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_19,Trash,41.1293941,24.8783822,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_20,Trash,41.1267638,24.8882116,02/23/26 07:18 PM,ΞΑΝΘΗ
ID_21,Trash,41.1248638,24.890264,02/23/26 07:18 PM,ΞΑΝΘΗ
